"S. No","Time","factory_id","COD - (mg/l) Raw","BOD - (mg/l) Raw","pH - (pH) Raw","TSS - (mg/l) Raw"
"1","2026-02-01 00:00","FACTORY_A","120.91","45.13","7.20","86.87"
"2","2026-02-01 00:01","FACTORY_A","116.88","44.27","7.23","86.04"
"3","2026-02-01 00:02","FACTORY_A","122.25","42.11","7.28","73.47"
"4","2026-02-01 00:03","FACTORY_A","122.82","42.99","7.20","76.22"
"5","2026-02-01 00:04","FACTORY_A","114.15","44.15","7.29","86.77"
"6","2026-02-01 00:05","FACTORY_A","116.09","45.09","7.22","83.32"
"7","2026-02-01 00:06","FACTORY_A","120.38","46.51","7.23","81.94"
"8","2026-02-01 00:07","FACTORY_A","119.05","45.53","7.25","82.18"
"9","2026-02-01 00:08","FACTORY_A","119.95","46.42","7.24","81.87"
"10","2026-02-01 00:09","FACTORY_A","117.44","45.04","7.16","74.68"
"11","2026-02-01 00:10","FACTORY_A","122.64","43.94","7.25","77.18"
"12","2026-02-01 00:11","FACTORY_A","122.33","44.72","7.18","84.99"
"13","2026-02-01 00:12","FACTORY_A","120.20","46.04","7.22","83.28"
"14","2026-02-01 00:13","FACTORY_A","123.38","46.55","7.21","81.42"
"15","2026-02-01 00:14","FACTORY_A","121.40","44.78","7.26","76.76"
"16","2026-02-01 00:15","FACTORY_A","117.42","43.61","7.22","84.95"
"17","2026-02-01 00:16","FACTORY_A","121.11","45.50","7.13","75.17"
"18","2026-02-01 00:17","FACTORY_A","117.12","45.72","7.30","87.40"
"19","2026-02-01 00:18","FACTORY_A","122.64","46.85","7.24","76.37"
"20","2026-02-01 00:19","FACTORY_A","119.85","43.98","7.17","75.64"
"21","2026-02-01 00:20","FACTORY_A","119.45","44.00","7.14","80.15"
"22","2026-02-01 00:21","FACTORY_A","117.96","46.13","7.25","81.06"
"23","2026-02-01 00:22","FACTORY_A","123.67","44.39","7.15","80.49"
"24","2026-02-01 00:23","FACTORY_A","119.54","44.33","7.24","73.39"
"25","2026-02-01 00:24","FACTORY_A","118.72","46.88","7.25","82.11"
"26","2026-02-01 00:25","FACTORY_A","118.94","42.94","7.17","84.90"
"27","2026-02-01 00:26","FACTORY_A","121.60","48.08","7.16","79.59"
"28","2026-02-01 00:27","FACTORY_A","121.10","44.08","7.18","72.27"
"29","2026-02-01 00:28","FACTORY_A","121.24","46.30","7.15","78.94"
"30","2026-02-01 00:29","FACTORY_A","121.29","44.84","7.21","74.34"
"31","2026-02-01 00:30","FACTORY_A","126.42","45.41","7.22","70.34"
"32","2026-02-01 00:31","FACTORY_A","118.78","44.61","7.24","77.26"
"33","2026-02-01 00:32","FACTORY_A","118.46","46.28","7.16","88.12"
"34","2026-02-01 00:33","FACTORY_A","117.56","44.48","7.24","79.59"
"35","2026-02-01 00:34","FACTORY_A","121.85","44.14","7.15","78.63"
"36","2026-02-01 00:35","FACTORY_A","123.39","47.72","7.24","83.55"
"37","2026-02-01 00:36","FACTORY_A","119.66","45.04","7.13","83.06"
"38","2026-02-01 00:37","FACTORY_A","117.48","43.99","7.28","72.67"
"39","2026-02-01 00:38","FACTORY_A","117.53","42.76","7.17","89.35"
"40","2026-02-01 00:39","FACTORY_A","121.95","47.80","7.23","80.99"
"41","2026-02-01 00:40","FACTORY_A","122.23","44.17","7.23","84.53"
"42","2026-02-01 00:41","FACTORY_A","121.63","48.09","7.14","77.02"
"43","2026-02-01 00:42","FACTORY_A","118.00","45.60","7.24","70.22"
"44","2026-02-01 00:43","FACTORY_A","120.70","45.21","7.17","79.42"
"45","2026-02-01 00:44","FACTORY_A","120.35","45.25","7.18","74.49"
"46","2026-02-01 00:45","FACTORY_A","120.66","48.32","7.17","85.86"
"47","2026-02-01 00:46","FACTORY_A","122.61","41.71","7.28","72.92"
"48","2026-02-01 00:47","FACTORY_A","120.67","45.32","7.14","80.13"
"49","2026-02-01 00:48","FACTORY_A","122.04","44.60","7.22","83.00"
"50","2026-02-01 00:49","FACTORY_A","120.20","44.68","7.17","82.13"
"51","2026-02-01 00:50","FACTORY_A","120.87","45.22","7.25","77.50"
"52","2026-02-01 00:51","FACTORY_A","121.89","44.60","7.32","71.10"
"53","2026-02-01 00:52","FACTORY_A","115.63","45.28","7.17","72.46"
"54","2026-02-01 00:53","FACTORY_A","119.04","44.96","7.21","76.21"
"55","2026-02-01 00:54","FACTORY_A","118.59","43.03","7.18","72.95"
"56","2026-02-01 00:55","FACTORY_A","118.08","45.57","7.25","79.62"
"57","2026-02-01 00:56","FACTORY_A","119.17","46.07","7.19","76.19"
"58","2026-02-01 00:57","FACTORY_A","124.48","44.19","7.25","73.54"
"59","2026-02-01 00:58","FACTORY_A","117.40","47.80","7.18","72.89"
"60","2026-02-01 00:59","FACTORY_A","122.90","47.00","7.31","72.04"
"61","2026-02-01 01:00","FACTORY_A","114.95","46.27","7.09","79.72"
"62","2026-02-01 01:01","FACTORY_A","119.00","46.25","7.22","76.33"
"63","2026-02-01 01:02","FACTORY_A","120.49","45.05","7.20","80.13"
"64","2026-02-01 01:03","FACTORY_A","121.76","46.71","7.20","79.61"
"65","2026-02-01 01:04","FACTORY_A","122.13","47.36","7.21","78.98"
"66","2026-02-01 01:05","FACTORY_A","122.38","46.21","7.20","83.24"
