s_no,time,factory_id,cod,bod,ph,tss
1,2026-02-01 00:00,FACTORY_B,,,,
2,2026-02-01 00:01,FACTORY_B,,,,
3,2026-02-01 00:02,FACTORY_B,116.00,45.39,7.23,82.32
4,2026-02-01 00:03,FACTORY_B,,,,
5,2026-02-01 00:04,FACTORY_B,,,,
6,2026-02-01 00:05,FACTORY_B,115.98,42.56,7.20,75.50
7,2026-02-01 00:06,FACTORY_B,,,,
8,2026-02-01 00:07,FACTORY_B,,,,
9,2026-02-01 00:08,FACTORY_B,116.32,46.06,7.23,74.74
10,2026-02-01 00:09,FACTORY_B,,,,
11,2026-02-01 00:10,FACTORY_B,,,,
12,2026-02-01 00:11,FACTORY_B,119.21,42.86,7.12,74.93
13,2026-02-01 00:12,FACTORY_B,,,,
14,2026-02-01 00:13,FACTORY_B,,,,
15,2026-02-01 00:14,FACTORY_B,119.80,41.41,7.18,79.16
16,2026-02-01 00:15,FACTORY_B,,,,
17,2026-02-01 00:16,FACTORY_B,,,,
18,2026-02-01 00:17,FACTORY_B,120.10,47.22,7.11,90.44
19,2026-02-01 00:18,FACTORY_B,,,,
20,2026-02-01 00:19,FACTORY_B,,,,
21,2026-02-01 00:20,FACTORY_B,121.15,46.08,7.21,78.28
22,2026-02-01 00:21,FACTORY_B,,,,
23,2026-02-01 00:22,FACTORY_B,,,,
24,2026-02-01 00:23,FACTORY_B,114.24,45.48,7.13,80.33
25,2026-02-01 00:24,FACTORY_B,,,,
26,2026-02-01 00:25,FACTORY_B,,,,
27,2026-02-01 00:26,FACTORY_B,120.62,47.10,7.23,79.81
28,2026-02-01 00:27,FACTORY_B,,,,
29,2026-02-01 00:28,FACTORY_B,,,,
30,2026-02-01 00:29,FACTORY_B,118.91,44.77,7.16,81.52
31,2026-02-01 00:30,FACTORY_B,,,,
32,2026-02-01 00:31,FACTORY_B,,,,
33,2026-02-01 00:32,FACTORY_B,121.05,47.28,7.22,81.47
34,2026-02-01 00:33,FACTORY_B,,,,
35,2026-02-01 00:34,FACTORY_B,,,,
36,2026-02-01 00:35,FACTORY_B,122.31,44.21,7.22,79.35
37,2026-02-01 00:36,FACTORY_B,,,,
38,2026-02-01 00:37,FACTORY_B,,,,
39,2026-02-01 00:38,FACTORY_B,121.32,46.91,7.22,82.09
40,2026-02-01 00:39,FACTORY_B,,,,
41,2026-02-01 00:40,FACTORY_B,,,,
42,2026-02-01 00:41,FACTORY_B,122.19,44.17,7.29,83.41
43,2026-02-01 00:42,FACTORY_B,,,,
44,2026-02-01 00:43,FACTORY_B,,,,
45,2026-02-01 00:44,FACTORY_B,118.83,46.85,7.18,88.65
46,2026-02-01 00:45,FACTORY_B,,,,
47,2026-02-01 00:46,FACTORY_B,,,,
48,2026-02-01 00:47,FACTORY_B,118.04,45.42,7.15,70.29
49,2026-02-01 00:48,FACTORY_B,,,,
50,2026-02-01 00:49,FACTORY_B,,,,
51,2026-02-01 00:50,FACTORY_B,123.82,47.26,7.19,75.55
52,2026-02-01 00:51,FACTORY_B,,,,
53,2026-02-01 00:52,FACTORY_B,,,,
54,2026-02-01 00:53,FACTORY_B,124.76,45.83,7.25,85.77
55,2026-02-01 00:54,FACTORY_B,,,,
56,2026-02-01 00:55,FACTORY_B,,,,
57,2026-02-01 00:56,FACTORY_B,114.39,44.92,7.14,77.05
58,2026-02-01 00:57,FACTORY_B,,,,
59,2026-02-01 00:58,FACTORY_B,,,,
60,2026-02-01 00:59,FACTORY_B,118.65,44.27,7.21,84.27
61,2026-02-01 01:00,FACTORY_B,,,,
62,2026-02-01 01:01,FACTORY_B,,,,
63,2026-02-01 01:02,FACTORY_B,125.39,43.88,7.19,80.86
64,2026-02-01 01:03,FACTORY_B,,,,
65,2026-02-01 01:04,FACTORY_B,,,,
66,2026-02-01 01:05,FACTORY_B,119.67,43.40,7.19,73.08
67,2026-02-01 01:06,FACTORY_B,,,,
68,2026-02-01 01:07,FACTORY_B,,,,
69,2026-02-01 01:08,FACTORY_B,119.48,45.38,7.17,75.73
70,2026-02-01 01:09,FACTORY_B,,,,
71,2026-02-01 01:10,FACTORY_B,,,,
72,2026-02-01 01:11,FACTORY_B,125.28,45.95,7.18,84.00
73,2026-02-01 01:12,FACTORY_B,,,,
74,2026-02-01 01:13,FACTORY_B,,,,
75,2026-02-01 01:14,FACTORY_B,117.20,43.42,7.19,76.71
76,2026-02-01 01:15,FACTORY_B,,,,
77,2026-02-01 01:16,FACTORY_B,,,,
78,2026-02-01 01:17,FACTORY_B,126.79,47.19,7.16,87.71
79,2026-02-01 01:18,FACTORY_B,,,,
80,2026-02-01 01:19,FACTORY_B,,,,
81,2026-02-01 01:20,FACTORY_B,120.88,42.42,7.24,71.23
82,2026-02-01 01:21,FACTORY_B,,,,
83,2026-02-01 01:22,FACTORY_B,,,,
84,2026-02-01 01:23,FACTORY_B,121.49,45.38,7.16,69.34
85,2026-02-01 01:24,FACTORY_B,,,,
86,2026-02-01 01:25,FACTORY_B,,,,
87,2026-02-01 01:26,FACTORY_B,119.82,44.72,7.16,72.99
88,2026-02-01 01:27,FACTORY_B,,,,
89,2026-02-01 01:28,FACTORY_B,,,,
90,2026-02-01 01:29,FACTORY_B,120.44,45.96,7.17,77.32
91,2026-02-01 01:30,FACTORY_B,,,,
92,2026-02-01 01:31,FACTORY_B,,,,
93,2026-02-01 01:32,FACTORY_B,120.94,44.15,7.21,79.19
94,2026-02-01 01:33,FACTORY_B,,,,
95,2026-02-01 01:34,FACTORY_B,,,,
96,2026-02-01 01:35,FACTORY_B,116.41,44.81,7.27,91.07
97,2026-02-01 01:36,FACTORY_B,,,,
98,2026-02-01 01:37,FACTORY_B,,,,
99,2026-02-01 01:38,FACTORY_B,120.77,45.20,7.25,75.29
100,2026-02-01 01:39,FACTORY_B,,,,
101,2026-02-01 01:40,FACTORY_B,,,,
102,2026-02-01 01:41,FACTORY_B,119.38,44.50,7.26,81.38
