"S. No","Time","factory_id","COD - (mg/l) Raw","BOD - (mg/l) Raw","pH - (pH) Raw","TSS - (mg/l) Raw"
"1","2026-02-01 00:00","FACTORY_C","115.00","44.40","7.24","84.75"
"2","2026-02-01 00:01","FACTORY_C","115.00","48.20","7.19","84.41"
"3","2026-02-01 00:02","FACTORY_C","115.00","45.06","7.18","74.21"
"4","2026-02-01 00:03","FACTORY_C","115.00","46.19","7.15","81.39"
"5","2026-02-01 00:04","FACTORY_C","115.00","42.07","7.16","82.95"
"6","2026-02-01 00:05","FACTORY_C","115.00","44.70","7.23","79.38"
"7","2026-02-01 00:06","FACTORY_C","115.00","43.33","7.21","84.42"
"8","2026-02-01 00:07","FACTORY_C","115.00","45.59","7.19","89.23"
"9","2026-02-01 00:08","FACTORY_C","115.00","43.64","7.18","81.79"
"10","2026-02-01 00:09","FACTORY_C","115.00","44.16","7.20","77.58"
"11","2026-02-01 00:10","FACTORY_C","115.00","45.02","7.22","79.50"
"12","2026-02-01 00:11","FACTORY_C","115.00","42.55","7.17","85.10"
"13","2026-02-01 00:12","FACTORY_C","115.00","45.57","7.22","79.51"
"14","2026-02-01 00:13","FACTORY_C","115.00","43.19","7.23","79.66"
"15","2026-02-01 00:14","FACTORY_C","115.00","44.87","7.19","77.05"
"16","2026-02-01 00:15","FACTORY_C","115.00","44.80","7.19","80.64"
"17","2026-02-01 00:16","FACTORY_C","115.00","46.37","7.24","88.88"
"18","2026-02-01 00:17","FACTORY_C","115.00","44.59","7.15","80.75"
"19","2026-02-01 00:18","FACTORY_C","115.00","42.89","7.24","84.45"
"20","2026-02-01 00:19","FACTORY_C","115.00","41.87","7.26","75.65"
"21","2026-02-01 00:20","FACTORY_C","115.00","47.05","7.14","89.58"
"22","2026-02-01 00:21","FACTORY_C","115.00","45.09","7.27","78.62"
"23","2026-02-01 00:22","FACTORY_C","115.00","48.04","7.22","82.05"
"24","2026-02-01 00:23","FACTORY_C","115.00","45.17","7.18","83.70"
"25","2026-02-01 00:24","FACTORY_C","115.00","44.07","7.20","77.60"
"26","2026-02-01 00:25","FACTORY_C","115.00","48.35","7.27","93.18"
"27","2026-02-01 00:26","FACTORY_C","115.00","44.00","7.26","78.13"
"28","2026-02-01 00:27","FACTORY_C","115.00","44.56","7.15","80.36"
"29","2026-02-01 00:28","FACTORY_C","115.00","48.27","7.16","73.41"
"30","2026-02-01 00:29","FACTORY_C","115.00","45.68","7.15","82.49"
"31","2026-02-01 00:30","FACTORY_C","115.00","45.34","7.32","79.12"
"32","2026-02-01 00:31","FACTORY_C","115.00","45.80","7.33","77.10"
"33","2026-02-01 00:32","FACTORY_C","115.00","46.34","7.17","82.49"
"34","2026-02-01 00:33","FACTORY_C","115.00","48.17","7.25","85.87"
"35","2026-02-01 00:34","FACTORY_C","115.00","43.88","7.22","74.35"
"36","2026-02-01 00:35","FACTORY_C","115.00","45.28","7.23","77.41"
"37","2026-02-01 00:36","FACTORY_C","115.00","46.15","7.27","75.29"
"38","2026-02-01 00:37","FACTORY_C","115.00","46.49","7.21","72.92"
"39","2026-02-01 00:38","FACTORY_C","115.00","44.98","7.12","91.00"
"40","2026-02-01 00:39","FACTORY_C","115.00","42.71","7.19","83.60"
"41","2026-02-01 00:40","FACTORY_C","115.00","46.48","7.23","70.82"
"42","2026-02-01 00:41","FACTORY_C","115.00","44.46","7.20","82.15"
"43","2026-02-01 00:42","FACTORY_C","115.00","44.80","7.24","71.31"
"44","2026-02-01 00:43","FACTORY_C","115.00","44.97","7.21","74.73"
"45","2026-02-01 00:44","FACTORY_C","115.00","45.23","7.13","80.61"
"46","2026-02-01 00:45","FACTORY_C","115.00","42.42","7.22","83.67"
"47","2026-02-01 00:46","FACTORY_C","115.00","47.30","7.22","84.10"
"48","2026-02-01 00:47","FACTORY_C","115.00","43.05","7.21","82.36"
"49","2026-02-01 00:48","FACTORY_C","115.00","45.42","7.17","82.81"
"50","2026-02-01 00:49","FACTORY_C","115.00","46.21","7.14","82.58"
"51","2026-02-01 00:50","FACTORY_C","115.00","41.65","7.26","84.71"
"52","2026-02-01 00:51","FACTORY_C","115.00","44.96","7.25","78.65"
"53","2026-02-01 00:52","FACTORY_C","115.00","45.38","7.19","76.25"
"54","2026-02-01 00:53","FACTORY_C","115.00","44.21","7.13","82.17"
"55","2026-02-01 00:54","FACTORY_C","115.00","46.21","7.24","88.45"
"56","2026-02-01 00:55","FACTORY_C","115.00","44.32","7.17","77.99"
"57","2026-02-01 00:56","FACTORY_C","115.00","43.06","7.13","80.17"
"58","2026-02-01 00:57","FACTORY_C","115.00","46.04","7.25","84.12"
"59","2026-02-01 00:58","FACTORY_C","115.00","44.75","7.18","85.09"
"60","2026-02-01 00:59","FACTORY_C","115.00","43.73","7.28","85.83"
"61","2026-02-01 01:00","FACTORY_C","115.00","43.43","7.23","78.74"
"62","2026-02-01 01:01","FACTORY_C","115.00","43.37","7.15","85.84"
"63","2026-02-01 01:02","FACTORY_C","115.00","46.34","7.17","86.09"
"64","2026-02-01 01:03","FACTORY_C","115.00","46.14","7.19","76.73"
"65","2026-02-01 01:04","FACTORY_C","115.00","45.05","7.28","76.99"
"66","2026-02-01 01:05","FACTORY_C","115.00","46.62","7.18","90.09"
"67","2026-02-01 01:06","FACTORY_C","115.00","46.58","7.27","86.43"
"68","2026-02-01 01:07","FACTORY_C","115.00","44.78","7.20","76.57"
"69","2026-02-01 01:08","FACTORY_C","115.00","44.18","7.19","78.30"
"70","2026-02-01 01:09","FACTORY_C","115.00","47.69","7.04","74.95"
"71","2026-02-01 01:10","FACTORY_C","115.00","44.64","7.19","71.75"
"72","2026-02-01 01:11","FACTORY_C","115.00","45.49","7.16","76.21"
"73","2026-02-01 01:12","FACTORY_C","115.00","45.24","7.26","81.31"
"74","2026-02-01 01:13","FACTORY_C","115.00","45.52","7.34","86.52"
"75","2026-02-01 01:14","FACTORY_C","115.00","45.83","7.26","67.02"
"76","2026-02-01 01:15","FACTORY_C","115.00","42.69","7.25","78.42"
"77","2026-02-01 01:16","FACTORY_C","115.00","43.87","7.22","80.95"
"78","2026-02-01 01:17","FACTORY_C","115.00","44.88","7.20","81.17"
"79","2026-02-01 01:18","FACTORY_C","115.00","44.13","7.23","84.07"
"80","2026-02-01 01:19","FACTORY_C","115.00","44.67","7.15","84.09"
"81","2026-02-01 01:20","FACTORY_C","115.00","42.55","7.19","74.20"
"82","2026-02-01 01:21","FACTORY_C","115.00","44.73","7.18","87.41"
"83","2026-02-01 01:22","FACTORY_C","115.00","45.55","7.15","86.88"
"84","2026-02-01 01:23","FACTORY_C","115.00","45.23","7.23","80.97"
"85","2026-02-01 01:24","FACTORY_C","115.00","45.49","7.23","76.54"
"86","2026-02-01 01:25","FACTORY_C","115.00","45.25","7.17","69.50"
"87","2026-02-01 01:26","FACTORY_C","115.00","45.11","7.18","81.26"
"88","2026-02-01 01:27","FACTORY_C","115.00","45.33","7.23","75.37"
"89","2026-02-01 01:28","FACTORY_C","115.00","43.33","7.18","77.47"
"90","2026-02-01 01:29","FACTORY_C","115.00","47.08","7.18","78.17"
"91","2026-02-01 01:30","FACTORY_C","115.00","43.48","7.22","76.34"
"92","2026-02-01 01:31","FACTORY_C","115.00","44.67","7.25","76.31"
"93","2026-02-01 01:32","FACTORY_C","115.00","44.86","7.25","71.85"
"94","2026-02-01 01:33","FACTORY_C","115.00","45.64","7.18","83.19"
"95","2026-02-01 01:34","FACTORY_C","115.00","46.49","7.21","77.98"
"96","2026-02-01 01:35","FACTORY_C","115.00","46.62","7.18","79.18"
"97","2026-02-01 01:36","FACTORY_C","115.00","46.18","7.19","88.25"
"98","2026-02-01 01:37","FACTORY_C","115.00","41.82","7.27","73.97"
"99","2026-02-01 01:38","FACTORY_C","115.00","45.00","7.20","77.54"
"100","2026-02-01 01:39","FACTORY_C","115.00","44.34","7.17","81.98"
"101","2026-02-01 01:40","FACTORY_C","115.00","46.69","7.16","82.88"
"102","2026-02-01 01:41","FACTORY_C","115.00","45.85","7.20","77.88"
"103","2026-02-01 01:42","FACTORY_C","115.00","46.80","7.21","80.39"
"104","2026-02-01 01:43","FACTORY_C","115.00","45.33","7.16","67.64"
"105","2026-02-01 01:44","FACTORY_C","115.00","45.48","7.18","74.34"
"106","2026-02-01 01:45","FACTORY_C","115.00","47.05","7.23","82.66"
"107","2026-02-01 01:46","FACTORY_C","115.00","43.24","7.16","77.59"
