s_no,time,factory_id,cod,bod,ph,tss
1,2026-02-01 00:00,FACTORY_D,,,,
2,2026-02-01 00:01,FACTORY_D,,,,
3,2026-02-01 00:02,FACTORY_D,117.88,44.54,7.20,71.61
4,2026-02-01 00:03,FACTORY_D,,,,
5,2026-02-01 00:04,FACTORY_D,,,,
6,2026-02-01 00:05,FACTORY_D,125.06,44.08,7.14,73.84
7,2026-02-01 00:06,FACTORY_D,,,,
8,2026-02-01 00:07,FACTORY_D,,,,
9,2026-02-01 00:08,FACTORY_D,114.22,46.67,7.22,77.07
10,2026-02-01 00:09,FACTORY_D,,,,
11,2026-02-01 00:10,FACTORY_D,,,,
12,2026-02-01 00:11,FACTORY_D,122.71,43.48,7.14,80.13
13,2026-02-01 00:12,FACTORY_D,,,,
14,2026-02-01 00:13,FACTORY_D,,,,
15,2026-02-01 00:14,FACTORY_D,119.75,45.21,7.15,82.72
16,2026-02-01 00:15,FACTORY_D,,,,
17,2026-02-01 00:16,FACTORY_D,,,,
18,2026-02-01 00:17,FACTORY_D,118.10,41.71,7.25,71.73
19,2026-02-01 00:18,FACTORY_D,,,,
20,2026-02-01 00:19,FACTORY_D,,,,
21,2026-02-01 00:20,FACTORY_D,123.14,44.14,7.20,77.43
22,2026-02-01 00:21,FACTORY_D,,,,
23,2026-02-01 00:22,FACTORY_D,,,,
24,2026-02-01 00:23,FACTORY_D,121.79,46.58,7.15,83.73
25,2026-02-01 00:24,FACTORY_D,,,,
26,2026-02-01 00:25,FACTORY_D,,,,
27,2026-02-01 00:26,FACTORY_D,121.34,44.68,7.28,81.38
28,2026-02-01 00:27,FACTORY_D,,,,
29,2026-02-01 00:28,FACTORY_D,,,,
30,2026-02-01 00:29,FACTORY_D,119.75,45.98,7.14,79.85
31,2026-02-01 00:30,FACTORY_D,,,,
32,2026-02-01 00:31,FACTORY_D,,,,
33,2026-02-01 00:32,FACTORY_D,123.24,45.69,7.18,81.14
34,2026-02-01 00:33,FACTORY_D,,,,
35,2026-02-01 00:34,FACTORY_D,,,,
36,2026-02-01 00:35,FACTORY_D,115.47,46.18,7.22,85.23
37,2026-02-01 00:36,FACTORY_D,,,,
38,2026-02-01 00:37,FACTORY_D,,,,
39,2026-02-01 00:38,FACTORY_D,119.74,43.27,7.22,83.60
40,2026-02-01 00:39,FACTORY_D,,,,
41,2026-02-01 00:40,FACTORY_D,,,,
42,2026-02-01 00:41,FACTORY_D,121.66,46.84,7.16,81.85
